"DeltaNeff, n, p, d, t, He3, a, Li7, Be7"
0.0,7.2859832e-11,0.75284889,0.00001850856,5.9931365e-8,8.0277931e-6,0.061772457,2.2181381e-11,4.0682522128445064e-10
0.05,7.37207780150458e-11,0.7521742907651602,0.000018618171291517012,6.031052571348059e-8,8.038452574718e-6,0.061941043381668906,2.2365311315656038e-11,4.0682522128445064e-10
0.1,7.462299980677562e-11,0.7515045637988794,0.000018727624135901302,6.068931692916501e-8,8.049077977330382e-6,0.06210841214757948,2.2548963465248884e-11,4.0428062762438225e-10
0.15,7.552960931770154e-11,0.7508396312769391,0.000018836908761996197,6.106770613457888e-8,8.059666655374835e-6,0.06227458241432722,2.273232959058675e-11,4.017526972003423e-10
0.2,7.644072506052242e-11,0.7501794255791447,0.000018946045331218042,6.144576359128582e-8,8.07022258217281e-6,0.06243957107385063,2.291542912388897e-11,3.992408364921036e-10
0.25,7.735616093360876e-11,0.7495238794918199,0.000019055014818746995,6.182341770241025e-8,8.080742656518617e-6,0.0626033949414598,2.3098242060306245e-11,3.967456058267475e-10
0.3,7.82759752137712e-11,0.7488729339359684,0.00001916382563423694,6.220069941386564e-8,8.091227645465176e-6,0.06276606878210023,2.3280779030043507e-11,3.9426687779699545e-10
0.35,7.92002588006814e-11,0.7482265151825596,0.00001927249162812223,6.257765219957956e-8,8.10168114204185e-6,0.06292761101837557,2.3463052836604507e-11,3.9180415034989524e-10
0.4,8.01288550373641e-11,0.7475845708799239,0.000019380994654576585,6.295421802529964e-8,8.112098405650408e-6,0.06308803475088147,2.3645046629140763e-11,3.8935813320814756e-10
0.45,8.106196625503502e-11,0.7469470353232868,0.000019489363725841637,6.333049447592843e-8,8.122485458988573e-6,0.06324735638670613,2.3826789687938267e-11,3.8692791614629944e-10
0.5,8.199932995313977e-11,0.7463138495670955,0.000019597568329162437,6.370637060697623e-8,8.132836863455149e-6,0.06340559068166671,2.4008251400939327e-11,3.845143865297737e-10
0.55,8.294109722238019e-11,0.7456849570462971,0.000019705630617392807,6.408192497895861e-8,8.14315633440511e-6,0.06356275176309842,2.418945554304861e-11,3.82116939172307e-10
0.6,8.38872955160556e-11,0.745060298294532,0.00001981355429859066,6.445717263341098e-8,8.153444564087359e-6,0.06371885449520275,2.437040458352419e-11,3.7973546223336234e-10
0.65,8.483778649439685e-11,0.7444398204881275,0.00001992132382415441,6.48320510688147e-8,8.163698622685401e-6,0.06387391209392486,2.455108762354157e-11,3.7737042337690676e-10
0.7,8.579275772268595e-11,0.7438234639504977,0.000020028963040088843,6.520665126726257e-8,8.17392259745247e-6,0.06402793946335196,2.4731526169016122e-11,3.7502114813470557e-10
0.75,8.675207328640464e-11,0.7432111825836155,0.000020136463636664778,6.558093419366995e-8,8.18411606887275e-6,0.06418094813248558,2.4911711956845235e-11,3.726877592282023e-10
0.8,8.771576279493612e-11,0.7426029162404213,0.000020243826807340765,6.595490864750077e-8,8.194278130714645e-6,0.06433295313817243,2.5091648816960582e-11,3.7037031327615027e-10
0.85,8.86837300235823e-11,0.7419986183913523,0.00002035104279618414,6.632853894528466e-8,8.20440674332004e-6,0.06448396611923149,2.5271330018924295e-11,3.680691102288303e-10
0.9,8.965610493790422e-11,0.7413982373112101,0.000020458129067828283,6.670188478895875e-8,8.214505836761009e-6,0.0646339999952452,2.545076981039769e-11,3.657835429511089e-10
0.95,9.063282153758691e-11,0.7408017235794596,0.00002056508269001275,6.707493374012163e-8,8.224574512587468e-6,0.06478306712348993,2.562996908087083e-11,3.635137153390898e-10
1.,9.161388386734273e-11,0.7402090253803483,0.000020671902526571035,6.744768211769595e-8,8.234612868608369e-6,0.06493118045840862,2.5808925041426545e-11,3.6125959249188075e-10
